transaction_id,sender_account_id,receiver_account_id,amount,currency,transaction_type,timestamp
TX_7AE8B7100C,ACC_1004,ACC_1032,477.81,USD,TRANSFER,2026-08-24T03:15:25.309078
TX_6575442191,ACC_1019,ACC_1032,421.18,USD,TRANSFER,2026-09-01T21:38:25.309078
TX_DB6CF2B5AC,ACC_1004,ACC_1042,524.58,USD,TRANSFER,2026-08-18T08:04:25.309078
TX_2B2DE8AB46,ACC_1026,ACC_1021,7603.73,USD,TRANSFER,2026-09-07T06:47:25.309078
TX_62298B1A7F,ACC_1037,ACC_1049,412.69,USD,TRANSFER,2026-08-18T16:16:25.309078
TX_21CA9B6D88,ACC_1027,ACC_1015,514.07,USD,TRANSFER,2026-08-17T08:21:25.309078
TX_EE394A2C05,ACC_1037,ACC_1011,620.63,USD,TRANSFER,2026-09-10T00:39:25.309078
TX_90A669B9DB,ACC_1010,ACC_1029,558.26,USD,TRANSFER,2026-09-08T01:50:25.309078
TX_5B8BB4C5D6,ACC_1048,ACC_1008,2993.93,USD,TRANSFER,2026-08-26T20:01:25.309078
TX_B22FC679C9,ACC_1024,ACC_1011,799.18,USD,TRANSFER,2026-09-04T05:41:25.309078
TX_669233243B,ACC_1042,ACC_1045,348.62,USD,TRANSFER,2026-08-18T04:47:25.309078
TX_891AA161D2,ACC_1024,ACC_1038,174.43,USD,TRANSFER,2026-09-14T18:08:25.309078
TX_B24B373A69,ACC_1012,ACC_1011,355.88,USD,TRANSFER,2026-08-22T11:47:25.309078
TX_7EF1AF5BBF,ACC_1027,ACC_1032,488.46,USD,TRANSFER,2026-08-29T05:53:25.309078
TX_EA4C1391EB,ACC_1016,ACC_1000,4490.16,USD,TRANSFER,2026-09-09T20:39:25.309078
TX_B49B97DF1C,ACC_1025,ACC_1041,710.58,USD,TRANSFER,2026-08-29T00:52:25.309078
TX_95D1195BCC,ACC_1001,ACC_1014,231.76,USD,TRANSFER,2026-08-28T01:44:25.309078
TX_D607AC0E4B,ACC_1025,ACC_1038,146.75,USD,TRANSFER,2026-08-25T01:03:25.309078
TX_52ED50CFED,ACC_1043,ACC_1047,204.96,USD,TRANSFER,2026-09-02T08:09:25.309078
TX_DD42388D00,ACC_1010,ACC_1001,607.04,USD,TRANSFER,2026-08-24T18:49:25.309078
TX_D2E2358371,ACC_1009,ACC_1041,5394.45,USD,TRANSFER,2026-08-29T15:06:25.309078
TX_E23DE03913,ACC_1025,ACC_1037,164.57,USD,TRANSFER,2026-08-24T07:00:25.309078
TX_F56A0767C0,ACC_1007,ACC_1018,468.33,USD,TRANSFER,2026-09-09T08:22:25.309078
TX_C7B001E19C,ACC_1026,ACC_1008,3053.03,USD,TRANSFER,2026-09-02T14:14:25.309078
TX_6B55AC4DFA,ACC_1023,ACC_1022,5332.27,USD,TRANSFER,2026-09-14T17:11:25.309078
TX_5EF2139D12,ACC_1042,ACC_1000,6413.0,USD,TRANSFER,2026-08-25T08:16:25.309078
TX_A4591ED07D,ACC_1021,ACC_1033,36.35,USD,TRANSFER,2026-09-05T10:50:25.309078
TX_6EF7F35AFA,ACC_1013,ACC_1008,2475.5,USD,TRANSFER,2026-09-01T18:45:25.309078
TX_DF3BCBB879,ACC_1047,ACC_1012,557.13,USD,TRANSFER,2026-08-22T05:33:25.309078
TX_C873FA2457,ACC_1010,ACC_1019,202.05,USD,TRANSFER,2026-09-13T19:25:25.309078
TX_1AA6EBEEED,ACC_1013,ACC_1008,108.09,USD,TRANSFER,2026-08-27T02:09:25.309078
TX_535ED543D4,ACC_1025,ACC_1036,449.99,USD,TRANSFER,2026-09-11T02:20:25.309078
TX_85245D6FA4,ACC_1010,ACC_1044,424.63,USD,TRANSFER,2026-09-14T02:30:25.309078
TX_D1992D4D5E,ACC_1009,ACC_1038,389.48,USD,TRANSFER,2026-08-30T05:55:25.309078
TX_6155D9C64E,ACC_1022,ACC_1005,678.27,USD,TRANSFER,2026-08-17T05:27:25.309078
TX_E645DF0D20,ACC_1042,ACC_1014,277.43,USD,TRANSFER,2026-08-30T18:03:25.309078
TX_EE3BF46472,ACC_1041,ACC_1022,2481.81,USD,TRANSFER,2026-08-20T21:33:25.309078
TX_41DEBEEB13,ACC_1036,ACC_1021,197.15,USD,TRANSFER,2026-08-26T15:18:25.309078
TX_20D05A8D89,ACC_1029,ACC_1041,5115.66,USD,TRANSFER,2026-08-25T22:46:25.309078
TX_8AC7AFB046,ACC_1009,ACC_1025,700.26,USD,TRANSFER,2026-09-12T12:56:25.309078
TX_3336F4ADF0,ACC_1031,ACC_1007,288.48,USD,TRANSFER,2026-08-21T01:27:25.309078
TX_D043635C89,ACC_1030,ACC_1042,745.51,USD,TRANSFER,2026-08-23T18:20:25.309078
TX_70A6D6770C,ACC_1049,ACC_1046,693.6,USD,TRANSFER,2026-09-12T09:22:25.309078
TX_50819B61BD,ACC_1007,ACC_1022,311.99,USD,TRANSFER,2026-08-21T14:00:25.309078
TX_A3E584674F,ACC_1017,ACC_1046,463.67,USD,TRANSFER,2026-08-19T11:01:25.309078
TX_142D5AB3B6,ACC_1049,ACC_1007,140.51,USD,TRANSFER,2026-09-04T15:07:25.309078
TX_71170C1C22,ACC_1000,ACC_1038,610.77,USD,TRANSFER,2026-09-10T17:13:25.309078
TX_EC5486CB9D,ACC_1011,ACC_1021,3814.97,USD,TRANSFER,2026-09-11T02:40:25.309078
TX_3A8824A755,ACC_1045,ACC_1010,519.02,USD,TRANSFER,2026-08-19T03:22:25.309078
TX_9A1B2E5900,ACC_1030,ACC_1024,348.92,USD,TRANSFER,2026-09-01T02:12:25.309078
TX_13D61AB488,ACC_1024,ACC_1021,2901.05,USD,TRANSFER,2026-08-27T03:58:25.309078
TX_DDBD606E75,ACC_1028,ACC_1020,293.37,USD,TRANSFER,2026-09-04T13:38:25.309078
TX_E31A640BFA,ACC_1024,ACC_1000,447.38,USD,TRANSFER,2026-09-04T02:06:25.309078
TX_91D0559149,ACC_1032,ACC_1021,620.75,USD,TRANSFER,2026-08-28T11:41:25.309078
TX_43B19ED543,ACC_1018,ACC_1000,3971.12,USD,TRANSFER,2026-09-11T08:21:25.309078
TX_18AB591DF1,ACC_1028,ACC_1023,538.37,USD,TRANSFER,2026-08-21T08:24:25.309078
TX_FB191F652A,ACC_1016,ACC_1047,178.54,USD,TRANSFER,2026-08-24T22:19:25.309078
TX_47828CA646,ACC_1027,ACC_1010,741.04,USD,TRANSFER,2026-08-20T17:49:25.309078
TX_FA44535AA5,ACC_1044,ACC_1046,546.91,USD,TRANSFER,2026-09-08T01:55:25.309078
TX_CBE8F3CB1B,ACC_1041,ACC_1009,374.63,USD,TRANSFER,2026-09-08T17:49:25.309078
TX_2BDF0AB029,ACC_1033,ACC_1005,403.15,USD,TRANSFER,2026-08-22T04:17:25.309078
TX_F3BE11E33B,ACC_1031,ACC_1029,305.14,USD,TRANSFER,2026-09-13T20:43:25.309078
TX_BBCB371539,ACC_1016,ACC_1007,651.21,USD,TRANSFER,2026-09-10T11:52:25.309078
TX_B9B4A00211,ACC_1012,ACC_1021,7804.12,USD,TRANSFER,2026-08-23T18:19:25.309078
